player_id,name,team,position,value,rds-played,tot-sel,avg-per-rd,rating,points-last-rd,primary-accent,Club,player_index,names_fantasy,names_stats
88147,N. Hasler,Sporting Kansas City,DEF,4,12,1.52%,2.33,$143K,DNP,28,SKC,363.0,N. Hasler-SKC,N. Hasler-SKC
176404,T. McCabe,FC Cincinnati,MID,4.4,3,0.05%,2.33,$629K,1,7,CIN,,T. McCabe-CIN,
20491,C. McCann,D.C. United,DEF,4.4,6,0.09%,2.33,$315K,DNP,14,DC,,C. McCann-DC,
447202,B. Rodriguez,Los Angeles Football Club,FWD,6.4,7,0.17%,2.29,$400K,2,16,LAFC,636.0,B. Rodriguez-LAFC,B. Rodriguez-LAFC
215474,A. Akinola,Toronto FC,FWD,4.3,8,0.22%,2.25,$239K,DNP,18,TOR,244.0,A. Akinola-TOR,A. Akinola-TOR
242216,V. Bezecourt,New York Red Bulls,MID,4.7,8,0.03%,2.25,$262K,DNP,18,NY,404.0,V. Bezecourt-NY,V. Bezecourt-RBNY
98918,R. Zelaya,Los Angeles Football Club,FWD,4.8,4,0.11%,2.25,$534K,DNP,9,LAFC,282.0,R. Zelaya-LAFC,R. Zelaya-LAFC
112998,J. Chapman,Toronto FC,MID,4.8,17,0.06%,2.24,$127K,DNP,38,TOR,161.0,J. Chapman-TOR,J. Chapman-TOR
164477,C. Stanko,FC Cincinnati,MID,4.3,23,0.02%,2.22,$85K,2,51,CIN,604.0,C. Stanko-CIN,C. Stanko-CIN
168365,E. Boateng,D.C. United,MID,4,24,0.59%,2.21,$76K,DNP,53,DC,262.0,E. Boateng-DC,E. Boateng-DC
424622,T. Buchanan,New England Revolution,MID,4.5,10,0.13%,2.2,$205K,DNP,22,NE,332.0,T. Buchanan-NE,T. Buchanan-NE
151955,S. Caldwell,New England Revolution,MID,4,20,0.51%,2.2,$91K,DNP,44,NE,369.0,S. Caldwell-NE,S. Caldwell-NE
131839,J. Robinson,D.C. United,DEF,4,10,0.39%,2.2,$182K,DNP,22,DC,532.0,J. Robinson-DC,J. Robinson-DC
220752,D. Etienne Jr.,FC Cincinnati,MID,4,16,0.30%,2.19,$115K,DNP,35,CIN,,D. Etienne Jr.-CIN,
201913,P. Aranguiz,FC Dallas,MID,6.5,11,0.03%,2.18,$271K,DNP,24,DAL,623.0,P. Aranguiz-DAL,P. Aranguiz-DAL
95611,J. Bendik,Philadelphia Union,GK,4.4,6,0.22%,2.17,$339K,DNP,13,PHI,676.0,J. Bendik-PHI,J. Bendik-PHI
477535,S. Nealis,New York Red Bulls,DEF,4.7,6,0.05%,2.17,$362K,DNP,13,NY,237.0,S. Nealis-NY,S. Nealis-RBNY
176415,J. Perez,Los Angeles Football Club,MID,4.9,13,0.07%,2.15,$175K,DNP,28,LAFC,531.0,J. Perez-LAFC,J. Perez-LAFC
213866,D. Salloi,Sporting Kansas City,MID,5.1,28,0.25%,2.14,$85K,1,60,SKC,270.0,D. Salloi-SKC,D. Salloi-SKC
218552,T. Conechny,Portland Timbers,MID,4.9,16,0.05%,2.13,$145K,DNP,34,POR,211.0,T. Conechny-POR,T. Conechny-POR
234219,J. Gutjahr,Chicago Fire,DEF,4,8,0.20%,2.13,$236K,DNP,17,CHI,348.0,J. Gutjahr-CHI,J. Gutjahr-CHI
177930,T. McNamara,Houston Dynamo,MID,4.4,33,0.08%,2.12,$63K,1,70,HOU,,T. McNamara-HOU,
170843,PC,Vancouver Whitecaps FC,MID,4,18,0.54%,2.11,$106K,DNP,38,VAN,,PC-VAN,
